electoral_district,reported,Harris-Walz_Democratic,Trump-Vance_Republican,Trump-Vance_Conservative,Harris-Walz_Working_Families,write_in,assembly_district,ed_map_for_viz,trump_votes,harris_votes,votes_value_for_viz
ED 43,99.00%,208,236,13,15,4,AD   82,82043,249,223,26
ED 44,85.71%,223,189,18,13,7,AD   82,82044,207,236,-29
ED 45,99.00%,4,2,0,0,0,AD   82,82045,2,4,-2
ED 46,99.00%,678,92,16,27,4,AD   82,82046,108,705,-597
ED 47,99.00%,564,76,7,14,6,AD   82,82047,83,578,-495
ED 48,99.00%,801,100,11,29,10,AD   82,82048,111,830,-719
ED 49,99.00%,692,92,6,18,2,AD   82,82049,98,710,-612
ED 50,99.00%,593,64,5,17,6,AD   82,82050,69,610,-541
ED 51,99.00%,607,45,10,18,2,AD   82,82051,55,625,-570
ED 52,99.00%,1,2,0,0,0,AD   82,82052,2,1,1
ED 53,99.00%,109,94,7,8,2,AD   82,82053,101,117,-16
ED 54,99.00%,842,98,8,34,5,AD   82,82054,106,876,-770
ED 55,99.00%,747,135,18,29,6,AD   82,82055,153,776,-623
ED 56,99.00%,672,90,10,18,1,AD   82,82056,100,690,-590
ED 57,99.00%,798,124,4,28,8,AD   82,82057,128,826,-698
ED 58,99.00%,824,79,13,24,3,AD   82,82058,92,848,-756
ED 59,99.00%,822,106,12,22,6,AD   82,82059,118,844,-726
ED 60,99.00%,740,109,7,21,10,AD   82,82060,116,761,-645
ED 61,99.00%,783,89,10,31,4,AD   82,82061,99,814,-715
ED 62,99.00%,680,73,16,16,7,AD   82,82062,89,696,-607
ED 63,99.00%,804,113,15,20,13,AD   82,82063,128,824,-696
ED 64,99.00%,821,122,14,19,3,AD   82,82064,136,840,-704
ED 65,99.00%,713,106,7,19,2,AD   82,82065,113,732,-619
ED 66,99.00%,514,96,9,18,6,AD   82,82066,105,532,-427
ED 67,99.00%,0,0,0,0,0,AD   82,82067,0,0,0
ED 68,99.00%,0,0,0,0,0,AD   82,82068,0,0,0
ED 69,99.00%,0,0,0,0,0,AD   82,82069,0,0,0
ED 70,99.00%,0,0,0,0,0,AD   82,82070,0,0,0
ED 71,99.00%,0,0,0,0,0,AD   82,82071,0,0,0
ED 72,99.00%,0,0,0,0,0,AD   82,82072,0,0,0
ED 73,99.00%,0,0,0,0,0,AD   82,82073,0,0,0
ED 74,99.00%,0,0,0,0,0,AD   82,82074,0,0,0
ED 75,99.00%,0,0,0,0,0,AD   82,82075,0,0,0
ED 76,99.00%,0,0,0,0,0,AD   82,82076,0,0,0
ED 77,99.00%,0,0,0,0,0,AD   82,82077,0,0,0
